icao,datetime_utc,timestamp,msg,df,typecode,oe_flag,velocity,speed_heading,airborne_velocity,altitude_diff,nuc_v,nac_v,emergency_state,altitude,nuc_p,nic_b,nac_p,selected_altitude,selected_heading,baro_pressure_setting,tcas_operational,latitude,longitude,position_type,callsign,category,version,nic_s,nic_a_c,autopilot,vnav_mode,altitude_hold_mode,approach_mode,lnav_mode,emergency_squawk,is_emergency
407698,2025-09-10 17:50:38.148698807+00:00,1757526638.1486988,8D407698F8330002004BBC017710,17,31,0,,,,,,,1.0,,,,"(11, 3, 4)",,,,,,,,,,2.0,0.0,"(0, 0)",,,,,,,
407698,2025-09-10 17:50:38.258562088+00:00,1757526638.258562,8D40769899153FA8700444D099EB,17,19,1,"(452, 224.64190604067642, 0, 'GS')","(452, 224.64190604067642)","(452, 224.64190604067642, 0, 'GS')",1675.0,"(2, 3, 4.5)","(2, 3, 4.5)",0.0,,,,,,,,,,,,,,,,,,,,,,,
407698,2025-09-10 17:50:38.697653055+00:00,1757526638.697653,8D40769899153FA8700444D099EB,17,19,1,"(452, 224.64190604067642, 0, 'GS')","(452, 224.64190604067642)","(452, 224.64190604067642, 0, 'GS')",1675.0,"(2, 3, 4.5)","(2, 3, 4.5)",0.0,,,,,,,,,,,,,,,,,,,,,,,
407698,2025-09-10 17:50:38.916517973+00:00,1757526638.916518,8D40769858C386A6D796FF7C0707,17,11,1,,,,,,,6.0,38000.0,"(7, 185, 93, None)",0.0,,,,,,,,,,,,,,,,,,,,
407698,2025-09-10 17:50:39.073136091+00:00,1757526639.073136,8D407698EA4A5866657C085E4DE5,17,29,0,,,,,,,,,,,"(11, 3, 4)","(38016, 'MCP/FCU')",70.3125,1013.6,True,,,,,,,,,,,,,,,
407698,2025-09-10 17:50:39.344036102+00:00,1757526639.344036,8D40769899153FA8700444D099EB,17,19,1,"(452, 224.64190604067642, 0, 'GS')","(452, 224.64190604067642)","(452, 224.64190604067642, 0, 'GS')",1675.0,"(2, 3, 4.5)","(2, 3, 4.5)",0.0,,,,,,,,,,,,,,,,,,,,,,,
407698,2025-09-10 17:50:39.404959917+00:00,1757526639.40496,8D40769858C386A6B396EE7BC6A9,17,11,1,,,,,,,6.0,38000.0,"(7, 185, 93, None)",0.0,,,,,,,,,,,,,,,,,,,,
407698,2025-09-10 17:50:39.888510942+00:00,1757526639.888511,8D40769899153FA8700444D099EB,17,19,1,"(452, 224.64190604067642, 0, 'GS')","(452, 224.64190604067642)","(452, 224.64190604067642, 0, 'GS')",1675.0,"(2, 3, 4.5)","(2, 3, 4.5)",0.0,,,,,,,,,,,,,,,,,,,,,,,
407698,2025-09-10 17:50:40.007206917+00:00,1757526640.007207,8D40769858C3831A36FD354EECE4,17,11,0,,,,,,,6.0,38000.0,"(7, 185, 93, None)",0.0,,,,,,-49.34642028808594,170.7188767653245,airborne,,,,,,,,,,,,
407698,2025-09-10 17:50:40.282189131+00:00,1757526640.2821891,8D40769899153FA8700444D099EB,17,19,1,"(452, 224.64190604067642, 0, 'GS')","(452, 224.64190604067642)","(452, 224.64190604067642, 0, 'GS')",1675.0,"(2, 3, 4.5)","(2, 3, 4.5)",0.0,,,,,,,,,-49.3353168034958,170.60524388363484,airborne,,,,,,,,,,,,
407698,2025-09-10 17:50:40.381448030+00:00,1757526640.381448,8D407698EA4A5866657C085E4DE5,17,29,0,,,,,,,,,,,"(11, 3, 4)","(38016, 'MCP/FCU')",70.3125,1013.6,True,,,,,,,,,,,,,,,
407698,2025-09-10 17:50:40.381623030+00:00,1757526640.381623,8D40769858C386A67596CFC9F669,17,11,1,,,,,,,6.0,38000.0,"(7, 185, 93, None)",0.0,,,,,,40.65285892809852,-108.04460698908025,airborne,,,,,,,,,,,,
407698,2025-09-10 17:50:40.879610777+00:00,1757526640.8796108,8D40769899153FA8700444D099EB,17,19,1,"(452, 224.64190604067642, 0, 'GS')","(452, 224.64190604067642)","(452, 224.64190604067642, 0, 'GS')",1675.0,"(2, 3, 4.5)","(2, 3, 4.5)",0.0,,,,,,,,,-49.3353168034958,170.60524388363484,airborne,,,,,,,,,,,,
407698,2025-09-10 17:50:41.058398008+00:00,1757526641.058398,8D40769858C38319F6FD1553D65E,17,11,0,,,,,,,6.0,38000.0,"(7, 185, 93, None)",0.0,,,,,,-49.34788513183594,170.71662315955527,airborne,,,,,,,,,,,,
407698,2025-09-10 17:50:41.366241932+00:00,1757526641.366242,8D40769899153FA8700444D099EB,17,19,1,"(452, 224.64190604067642, 0, 'GS')","(452, 224.64190604067642)","(452, 224.64190604067642, 0, 'GS')",1675.0,"(2, 3, 4.5)","(2, 3, 4.5)",0.0,,,,,,,,,-49.3353168034958,170.60524388363484,airborne,,,,,,,,,,,,
