icao,datetime_utc,timestamp,msg,df,typecode,oe_flag,velocity,speed_heading,airborne_velocity,altitude_diff,nuc_v,nac_v,emergency_state,version,nac_p,nic_s,nic_a_c,selected_altitude,selected_heading,baro_pressure_setting,tcas_operational,altitude,nuc_p,nic_b,latitude,longitude,position_type,emergency_squawk,is_emergency,autopilot,vnav_mode,altitude_hold_mode,approach_mode,lnav_mode,callsign,category
406C3A,2025-06-14 00:53:22.606389999+00:00,1749862402.60639,8D406C3A990D03AF400844DD428E,17,19,0,"(456, 214.3857926442918, 64, 'GS')","(456, 214.3857926442918)","(456, 214.3857926442918, 64, 'GS')",1675.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,,,,,,,,,,,,
406C3A,2025-06-14 00:53:23.806535006+00:00,1749862403.806535,8D406C3A58CD75F4D294D087F3E9,17,11,1,,,,,,,6.0,,,,,,,,,39975.0,"(7, 185, 93, None)",0.0,155.52660408666577,104.6337890625,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:24.133172035+00:00,1749862404.133172,8D406C3A58CD72654DF8C869BF41,17,11,0,,,,,,,6.0,,,,,,,,,39975.0,"(7, 185, 93, None)",0.0,39.593536376953125,-109.67555833899456,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:24.133186102+00:00,1749862404.133186,8D406C3A990D03AF400844DD428E,17,19,0,"(456, 214.3857926442918, 64, 'GS')","(456, 214.3857926442918)","(456, 214.3857926442918, 64, 'GS')",1675.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,155.52685546875,5.811767578125,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:24.425136805+00:00,1749862404.4251368,8D406C3AEA4E385E4B3F8C970388,17,29,0,,,,,,,,,"(9, 30, 45)",,,"(40000, 'MCP/FCU')",52.03125,1012.8,True,,,,,,,,,True,True,False,False,True,,
406C3A,2025-06-14 00:53:24.425462008+00:00,1749862404.425462,8D406C3A255894B1D753604E0987,17,4,1,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,VIR155M_,5.0
406C3A,2025-06-14 00:53:24.570255756+00:00,1749862404.5702558,8D406C3A58CD85F48894B7B1027C,17,11,1,,,,,,,6.0,,,,,,,,,40000.0,"(7, 185, 93, None)",0.0,155.52488165386652,104.56512451171875,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:24.570282936+00:00,1749862404.570283,8D406C3A990D03AF40044495188E,17,19,0,"(456, 214.3857926442918, 0, 'GS')","(456, 214.3857926442918)","(456, 214.3857926442918, 0, 'GS')",1675.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,155.52685546875,2.999267578125,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:25.553303003+00:00,1749862405.553303,8D406C3A58CD7264E3F8A4AD6B92,17,11,0,,,,,,,6.0,,,,,,,,,39975.0,"(7, 185, 93, None)",0.0,39.59111022949219,-109.67770783797553,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:25.553317070+00:00,1749862405.553317,8D406C3A990D03AF40044495188E,17,19,0,"(456, 214.3857926442918, 0, 'GS')","(456, 214.3857926442918)","(456, 214.3857926442918, 0, 'GS')",1675.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,155.52685546875,2.999267578125,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:26.150068998+00:00,1749862406.150069,8D406C3A58CD75F41E9493429768,17,11,1,,,,,,,6.0,,,,,,,,,39975.0,"(7, 185, 93, None)",0.0,155.52241438526218,104.46624755859375,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:26.150277138+00:00,1749862406.1502771,8D406C3AF83100020049BCB8366C,17,31,0,,,,,,,1.0,2.0,"(9, 30, 45)",0.0,"(0, 0)",,,,,,,,,,,,,,,,,,,
406C3A,2025-06-14 00:53:26.591612816+00:00,1749862406.5916128,8D406C3A58CD726497F88A896F0C,17,11,0,,,,,,,6.0,,,,,,,,,39975.0,"(7, 185, 93, None)",0.0,39.58937072753906,-109.67926025390625,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:26.591628075+00:00,1749862406.591628,8D406C3A990D03AF400844DD428E,17,19,0,"(456, 214.3857926442918, 64, 'GS')","(456, 214.3857926442918)","(456, 214.3857926442918, 64, 'GS')",1675.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,155.52685546875,5.811767578125,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:26.760100126+00:00,1749862406.7601001,8D406C3AEA4E385E4B3F8C970388,17,29,0,,,,,,,,,"(9, 30, 45)",,,"(40000, 'MCP/FCU')",52.03125,1012.8,True,,,,,,,,,True,True,False,False,True,,
406C3A,2025-06-14 00:53:27.132485867+00:00,1749862407.1324859,8D406C3A58CD75F3D4947A7E53D1,17,11,1,,,,,,,6.0,,,,,,,,,39975.0,"(7, 185, 93, None)",0.0,155.52069195246293,104.3975830078125,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:27.520446062+00:00,1749862407.520446,8D406C3A58CD72644BF87068EC50,17,11,0,,,,,,,6.0,,,,,,,,,39975.0,"(7, 185, 93, None)",0.0,39.58763122558594,-109.68081266983694,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:27.909296989+00:00,1749862407.909297,8D406C3AEA4E385E4B3F8C970388,17,29,0,,,,,,,,,"(9, 30, 45)",,,"(40000, 'MCP/FCU')",52.03125,1012.8,True,,,,,,,,,True,True,False,False,True,,
406C3A,2025-06-14 00:53:27.909456968+00:00,1749862407.909457,8D406C3A990D03AF40084522B687,17,19,0,"(456, 214.3857926442918, 64, 'GS')","(456, 214.3857926442918)","(456, 214.3857926442918, 64, 'GS')",1700.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,155.52685546875,5.81451416015625,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:28.418398857+00:00,1749862408.4183989,8D406C3AE1071300000000EE1C9F,17,28,0,,,,,,,0.0,,,,,,,,,,,,,,,2465,False,,,,,,,
406C3A,2025-06-14 00:53:28.562108994+00:00,1749862408.562109,8D406C3A58CD75F36A9457B04928,17,11,1,,,,,,,6.0,,,,,,,,,39975.0,"(7, 185, 93, None)",0.0,155.51822468385856,104.30145263671875,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:29.340362072+00:00,1749862409.340362,8D406C3AEA4E385E4B3F8C970388,17,29,0,,,,,,,,,"(9, 30, 45)",,,"(40000, 'MCP/FCU')",52.03125,1012.8,True,,,,,,,,,True,True,False,False,True,,
406C3A,2025-06-14 00:53:29.340709209+00:00,1749862409.3407092,8D406C3A58CD7263C1F842252DBD,17,11,0,,,,,,,6.0,,,,,,,,,39975.0,"(7, 185, 93, None)",0.0,39.58447265625,-109.68355925186819,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:29.340717077+00:00,1749862409.340717,8D406C3A990D03AF40084522B687,17,19,0,"(456, 214.3857926442918, 64, 'GS')","(456, 214.3857926442918)","(456, 214.3857926442918, 64, 'GS')",1700.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,155.52685546875,5.81451416015625,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:29.867003918+00:00,1749862409.867004,8D406C3A990D03AF400844DD428E,17,19,0,"(456, 214.3857926442918, 64, 'GS')","(456, 214.3857926442918)","(456, 214.3857926442918, 64, 'GS')",1675.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,155.52685546875,5.811767578125,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:30.362972975+00:00,1749862410.362973,8D406C3A58CD726375F828626E8A,17,11,0,,,,,,,6.0,,,,,,,,,39975.0,"(7, 185, 93, None)",0.0,39.582733154296875,-109.6851116677989,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:30.362983942+00:00,1749862410.362984,8D406C3A990D03AF400844DD428E,17,19,0,"(456, 214.3857926442918, 64, 'GS')","(456, 214.3857926442918)","(456, 214.3857926442918, 64, 'GS')",1675.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,155.52685546875,5.811767578125,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:31.126629829+00:00,1749862411.1266298,8D406C3AF83100020049BCB8366C,17,31,0,,,,,,,1.0,2.0,"(9, 30, 45)",0.0,"(0, 0)",,,,,,,,,,,,,,,,,,,
406C3A,2025-06-14 00:53:31.296823025+00:00,1749862411.296823,8D406C3A58CD726329F80E6DC459,17,11,0,,,,,,,6.0,,,,,,,,,39975.0,"(7, 185, 93, None)",0.0,39.58099365234375,-109.68666408372962,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:31.296838999+00:00,1749862411.296839,8D406C3A990D03AF400844DD428E,17,19,0,"(456, 214.3857926442918, 64, 'GS')","(456, 214.3857926442918)","(456, 214.3857926442918, 64, 'GS')",1675.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,155.52685546875,5.811767578125,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:31.670638084+00:00,1749862411.670638,8D406C3AEA4E385E4B3F8C970388,17,29,0,,,,,,,,,"(9, 30, 45)",,,"(40000, 'MCP/FCU')",52.03125,1012.8,True,,,,,,,,,True,True,False,False,True,,
406C3A,2025-06-14 00:53:32.274978161+00:00,1749862412.2749782,8D406C3A58CD85F24E93F72CAB0F,17,11,1,,,,,,,6.0,,,,,,,,,40000.0,"(7, 185, 93, None)",0.0,155.51161426608846,104.03778076171875,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:33.199625969+00:00,1749862413.199626,8D406C3A58CD82629FF7DF50F440,17,11,0,,,,,,,6.0,,,,,,,,,40000.0,"(7, 185, 93, None)",0.0,39.57783508300781,-109.6894703740659,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:34.235143900+00:00,1749862414.235144,8D406C3AEA4E385E4B3F8C970388,17,29,0,,,,,,,,,"(9, 30, 45)",,,"(40000, 'MCP/FCU')",52.03125,1012.8,True,,,,,,,,,True,True,False,False,True,,
406C3A,2025-06-14 00:53:34.235397100+00:00,1749862414.235397,8D406C3A990D03AF400844DD428E,17,19,0,"(456, 214.3857926442918, 64, 'GS')","(456, 214.3857926442918)","(456, 214.3857926442918, 64, 'GS')",1675.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,155.52685546875,5.811767578125,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:34.561594963+00:00,1749862414.561595,8D406C3A255894B1D753604E0987,17,4,1,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,VIR155M_,5.0
406C3A,2025-06-14 00:53:35.221784115+00:00,1749862415.221784,8D406C3A990D03AF400844DD428E,17,19,0,"(456, 214.3857926442918, 64, 'GS')","(456, 214.3857926442918)","(456, 214.3857926442918, 64, 'GS')",1675.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,155.52685546875,5.811767578125,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:35.791580915+00:00,1749862415.791581,8D406C3A58CD8261D9F79C769913,17,11,0,,,,,,,6.0,,,,,,,,,40000.0,"(7, 185, 93, None)",0.0,39.57330322265625,-109.69347083050272,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:35.791595936+00:00,1749862415.791596,8D406C3A990D03AF40084522B687,17,19,0,"(456, 214.3857926442918, 64, 'GS')","(456, 214.3857926442918)","(456, 214.3857926442918, 64, 'GS')",1700.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,155.52685546875,5.81451416015625,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:36.151578903+00:00,1749862416.151579,8D406C3AF83100020049BCB8366C,17,31,0,,,,,,,1.0,2.0,"(9, 30, 45)",0.0,"(0, 0)",,,,,,,,,,,,,,,,,,,
406C3A,2025-06-14 00:53:36.321126938+00:00,1749862416.321127,8D406C3A58CD75F1229392D280CB,17,11,1,,,,,,,6.0,,,,,,,,,39975.0,"(7, 185, 93, None)",0.0,155.50463143041577,103.7603759765625,airborne,,,,,,,,,
406C3A,2025-06-14 00:53:36.747626066+00:00,1749862416.747626,8D406C3AEA4E385E4B3F8C970388,17,29,0,,,,,,,,,"(9, 30, 45)",,,"(40000, 'MCP/FCU')",52.03125,1012.8,True,,,,,,,,,True,True,False,False,True,,
4075C2,2025-06-14 00:53:22.388221025+00:00,1749862402.388221,8D4075C2EA48585C953F8C2B65A9,17,29,0,,,,,,,,,"(9, 30, 45)",,,"(36992, 'MCP/FCU')",52.03125,1012.8,True,,,,,,,,,True,True,False,False,True,,
4075C2,2025-06-14 00:53:22.606091976+00:00,1749862402.606092,8D4075C258BDF515CFDE67FFDE24,17,11,1,,,,,,,5.0,,,,,,,,,36975.0,"(7, 185, 93, None)",0.0,,,,,,,,,,,,
4075C2,2025-06-14 00:53:23.424576998+00:00,1749862403.424577,8D4075C225542537C5982049AF96,17,4,1,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,UBT71Y__,5.0
4075C2,2025-06-14 00:53:23.590867996+00:00,1749862403.590868,8D4075C258BDF515FDDE94860245,17,11,1,,,,,,,5.0,,,,,,,,,36975.0,"(7, 185, 93, None)",0.0,,,,,,,,,,,,
4075C2,2025-06-14 00:53:23.590883017+00:00,1749862403.590883,8D4075C29909C51DA008457ED542,17,19,1,"(509, 62.42986281766783, 64, 'GS')","(509, 62.42986281766783)","(509, 62.42986281766783, 64, 'GS')",1700.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,,,,,,,,,,,,
4075C2,2025-06-14 00:53:23.806648016+00:00,1749862403.806648,8D4075C2EA48585C953F8C2B65A9,17,29,0,,,,,,,,,"(9, 30, 45)",,,"(36992, 'MCP/FCU')",52.03125,1012.8,True,,,,,,,,,True,True,False,False,True,,
4075C2,2025-06-14 00:53:23.975430965+00:00,1749862403.975431,8D4075C258BDF182EF421D886B9B,17,11,0,,,,,,,5.0,,,,,,,,,36975.0,"(7, 185, 93, None)",0.0,38.26716613769531,-140.71306593874667,airborne,,,,,,,,,
4075C2,2025-06-14 00:53:23.975445986+00:00,1749862403.975446,8D4075C29909C51DA008457ED542,17,19,1,"(509, 62.42986281766783, 64, 'GS')","(509, 62.42986281766783)","(509, 62.42986281766783, 64, 'GS')",1700.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,38.31211930614407,-140.74316273564878,airborne,,,,,,,,,
4075C2,2025-06-14 00:53:24.569809914+00:00,1749862404.56981,8D4075C258BDF18301422FC570E3,17,11,0,,,,,,,5.0,,,,,,,,,36975.0,"(7, 185, 93, None)",0.0,38.267578125,-140.7120140562666,airborne,,,,,,,,,
4075C2,2025-06-14 00:53:24.741368055+00:00,1749862404.741368,8D4075C2F82100020049BC9CAAD5,17,31,0,,,,,,,1.0,2.0,"(9, 30, 45)",0.0,"(0, 0)",,,,,,,,,,,,,,,,,,,
4075C2,2025-06-14 00:53:25.038913965+00:00,1749862405.038914,8D4075C2EA48585C953F8C2B65A9,17,29,0,,,,,,,,,"(9, 30, 45)",,,"(36992, 'MCP/FCU')",52.03125,1012.8,True,,,,,,,,,True,True,False,False,True,,
4075C2,2025-06-14 00:53:25.038992882+00:00,1749862405.038993,8D4075C258BDF5163FDED282F680,17,11,1,,,,,,,5.0,,,,,,,,,36975.0,"(7, 185, 93, None)",0.0,38.26812744140625,-110.07237973420516,airborne,,,,,,,,,
4075C2,2025-06-14 00:53:25.039000034+00:00,1749862405.039,8D4075C29909C51DA008457ED542,17,19,1,"(509, 62.42986281766783, 64, 'GS')","(509, 62.42986281766783)","(509, 62.42986281766783, 64, 'GS')",1700.0,"(1, 10, 15.2)","(1, 10, 15.2)",0.0,,,,,,,,,,,,38.31211930614407,-140.74316273564878,airborne,,,,,,,,,
4075C2,2025-06-14 00:53:25.392410994+00:00,1749862405.392411,8D4075C258BDF18331425CA002C0,17,11,0,,,,,,,5.0,,,,,,,,,36975.0,"(7, 185, 93, None)",0.0,38.2686767578125,-140.70938435006647,airborne,,,,,,,,,
